datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
19961102-12:00,Smoke,10,0,0,,34,,1009,0,0,27,0,0,3.5,20,NNE,,,7.4
19961102-13:00,Smoke,11,0,0,,41,,1009,0,0,25,0,0,3,0,North,,,0
19961102-14:00,Smoke,12,0,0,,53,,1010,0,0,22,0,0,2,0,North,,,0
19961102-15:00,Smoke,12,0,0,,56,,1010,0,0,21,0,0,,0,North,,,
19961102-16:00,Smoke,12,0,0,,64,,1010,0,0,19,0,0,1.2,0,North,,,0
19961102-17:00,Smoke,12,0,0,,60,,1010,0,0,20,0,0,1.1,0,North,,,0
19961102-18:00,Smoke,12,0,0,,64,,1009,0,0,19,0,0,1.2,0,North,,,0
19961102-19:00,Smoke,11,0,0,,60,,1009,0,0,19,0,0,1.4,0,North,,,0
19961102-20:00,Smoke,11,0,0,,68,,1009,0,0,17,0,0,2,0,North,,,0
19961102-21:00,Smoke,11,0,0,,68,,1009,0,0,17,0,0,2,0,North,,,0
19961102-22:00,Smoke,12,0,0,,72,,1009,0,0,17,0,0,1.8,0,North,,,0
19961102-23:00,Smoke,12,0,0,,72,,1009,0,0,17,0,0,1.8,0,North,,,0
19961103-00:00,Smoke,11,0,0,,68,,1010,0,0,17,0,0,,0,North,,,
19961103-01:00,Smoke,11,0,0,,72,,1011,0,0,16,0,0,,0,North,,,
19961103-02:00,Smoke,10,0,0,,63,,1011,0,0,17,0,0,2.5,220,SW,,,7.4
19961103-03:00,Smoke,12,0,0,,64,,1012,0,0,19,0,0,3,240,WSW,,,7.4
19961103-04:00,Smoke,12,0,0,,53,,1012,0,0,22,0,0,3,230,SW,,,9.3
19961103-05:00,Smoke,14,0,0,,60,,1012,0,0,22,0,0,3,250,WSW,,,9.3
19961103-06:00,Smoke,13,0,0,,44,,1011,0,0,26,0,0,3,280,West,,,5.6
19961103-07:00,Smoke,9,0,0,,30,,1010,0,0,28,0,0,3.5,270,West,,,24.1
19961103-08:00,Smoke,11,0,0,,35,,1010,0,0,28,0,0,3.5,250,WSW,,,11.1
19961103-09:00,Smoke,11,0,0,,33,,1009,0,0,29,0,0,3.5,270,West,,,14.8
19961103-10:00,Smoke,11,0,0,,33,,1009,0,0,29,0,0,3.5,270,West,,,11.1
19961103-11:00,Smoke,12,0,0,26.8,39,,1009,0,0,27,0,0,3.5,280,West,,,5.6
19961103-12:00,Smoke,12,0,0,,42,,1010,0,0,26,0,0,3,0,North,,,0
19961103-13:00,Smoke,14,0,0,,60,,1010,0,0,22,0,0,2.2,0,North,,,0
19961103-14:00,Smoke,13,0,0,,57,,1011,0,0,22,0,0,1.6,0,North,,,0
19961103-15:00,Smoke,13,0,0,,60,,1011,0,0,21,0,0,1.5,0,North,,,0
19961103-16:00,Smoke,12,0,0,,56,,1011,0,0,21,0,0,1.5,0,North,,,0
19961103-17:00,Smoke,13,0,0,,64,,1011,0,0,20,0,0,1.5,0,North,,,0
19961103-18:00,Smoke,12,0,0,,60,,1011,0,0,20,0,0,1.5,0,North,,,0
19961103-19:00,Smoke,12,0,0,,64,,1011,0,0,19,0,0,1.5,0,North,,,0
19961103-20:00,Smoke,13,0,0,,68,,1010,0,0,19,0,0,0.9,0,North,,,0
19961103-21:00,Smoke,12,0,0,,64,,1010,0,0,19,0,0,0.8,0,North,,,0
19961103-22:00,Smoke,13,0,0,,77,,1010,0,0,17,0,0,0.8,0,North,,,0
19961103-23:00,Smoke,13,0,0,,77,,1010,0,0,17,0,0,1.5,0,North,,,0
19961104-00:00,Smoke,12,0,0,,68,,1011,0,0,18,0,0,0.8,0,North,,,0
19961104-01:00,Clear,11,0,0,,77,,1012,0,0,15,0,0,1.5,220,SW,,,7.4
19961104-02:00,Smoke,11,0,0,,68,,1013,0,0,17,0,0,,0,North,,,
19961104-03:00,Smoke,12,0,0,,60,,1014,0,0,20,0,0,1.5,0,North,,,0
19961104-05:00,Smoke,12,0,0,,42,,1013,0,0,26,0,0,2.8,210,SSW,,,5.6
19961104-06:00,Smoke,12,0,0,27.5,37,,1013,0,0,28,0,0,3.5,0,North,,,0
19961104-07:00,Smoke,10,0,0,,32,,1012,0,0,28,0,0,4,280,West,,,9.3
19961104-08:00,Smoke,8,0,0,,27,,1011,0,0,29,0,0,4,290,WNW,,,11.1
19961104-09:00,Smoke,9,0,0,,29,,1010,0,0,29,0,0,4,0,North,,,0
19961104-10:00,Smoke,7,0,0,,25,,1010,0,0,29,0,0,4,0,North,,,0
19961104-11:00,Smoke,10,0,0,,34,,1010,0,0,27,0,0,,0,North,,,0
19961104-12:00,Smoke,10,0,0,,39,,1010,0,0,25,0,0,2,0,North,,,0
19961104-13:00,Smoke,10,0,0,,44,,1011,0,0,23,0,0,1.8,0,North,,,0
19961104-16:00,Smoke,9,0,0,,46,,1011,0,0,21,0,0,1.4,0,North,,,0
19961104-17:00,Smoke,9,0,0,,46,,1011,0,0,21,0,0,1.3,0,North,,,0
19961104-18:00,Smoke,10,0,0,,59,,1011,0,0,18,0,0,1.3,0,North,,,0
19961104-19:00,Haze,11,0,0,,64,,1011,0,0,18,0,0,,0,North,,,0
19961104-21:00,Haze,11,0,0,,68,,1010,0,0,17,0,0,1,0,North,,,0
19961105-04:00,Smoke,9,0,0,,38,,1013,0,0,24,0,0,3,230,SW,,,9.3
19961105-05:00,Smoke,9,0,0,,34,,1013,0,0,26,0,0,3.5,260,West,,,9.3
19961105-06:00,Smoke,8,0,0,,27,,1012,0,0,29,0,0,4,240,WSW,,,9.3
19961105-07:00,Smoke,7,0,0,,23,,1011,0,0,30,0,0,4.5,290,WNW,,,7.4
19961105-08:00,Smoke,8,0,0,,25,,1010,0,0,30,0,0,4.5,20,NNE,,,14.8
19961106-07:00,Smoke,9,0,0,,30,,1012,0,0,28,0,0,4.5,20,NNE,,,13
19961106-08:00,Smoke,7,0,0,,25,,1011,0,0,29,0,0,5,300,WNW,,,14.8
19961106-09:00,Smoke,8,0,0,,27,,1011,0,0,29,0,0,5,290,WNW,,,9.3
19961106-10:00,Smoke,5,0,0,,22,,1010,0,0,29,0,0,5,310,NW,,,11.1
19961106-11:00,Smoke,7,0,0,,26,,1010,0,0,28,0,0,5,310,NW,,,9.3
19961106-12:00,Smoke,7,0,0,,32,,1011,0,0,25,0,0,,0,North,,,
19961106-13:00,Smoke,8,0,0,,36,,1012,0,0,24,0,0,2.2,280,West,,,9.3
19961106-14:00,Smoke,10,0,0,,52,,1012,0,0,20,0,0,1.8,0,North,,,0
19961106-15:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-17:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-18:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-19:00,Smoke,10,0,0,,59,,1013,0,0,18,0,0,,0,North,,,
19961106-20:00,Smoke,11,0,0,,68,,1012,0,0,17,0,0,2,0,North,,,0
19961106-21:00,Smoke,11,0,0,,72,,1012,0,0,16,0,0,2,0,North,,,0
19961106-22:00,Smoke,11,0,0,,72,,1012,0,0,16,0,0,2,0,North,,,0
19961106-23:00,Smoke,11,0,0,,77,,1012,0,0,15,0,0,1.7,0,North,,,0
19961107-00:00,Smoke,11,0,0,,77,,1012,0,0,15,0,0,1.5,0,North,,,0
19961107-01:00,Smoke,11,0,0,,68,,1013,0,0,17,0,0,1.5,230,SW,,,5.6
19961107-02:00,Smoke,10,0,0,,59,,1014,0,0,18,0,0,1.7,0,North,,,0
19961107-03:00,Smoke,12,0,0,,64,,1015,0,0,19,0,0,2.2,270,West,,,5.6
19961107-04:00,Smoke,13,0,0,,53,,1015,0,0,23,0,0,2.5,260,West,,,9.3
19961107-05:00,Smoke,13,0,0,,47,,1015,0,0,25,0,0,3,280,West,,,13
19961107-06:00,Smoke,11,0,0,,37,,1014,0,0,27,0,0,4,290,WNW,,,7.4
19961107-07:00,Clear,11,0,0,,33,,1013,0,0,29,0,0,6,290,WNW,,,5.6
19961107-08:00,Clear,8,0,0,,27,,1012,0,0,29,0,0,6,300,WNW,,,13
19961107-09:00,Clear,8,0,0,,25,,1012,0,0,30,0,0,6,300,WNW,,,7.4
19961107-10:00,Smoke,7,0,0,,23,,1012,0,0,30,0,0,5,310,NW,,,5.6
19961107-11:00,Smoke,7,0,0,,25,,1012,0,0,29,0,0,4.5,300,WNW,,,5.6
19961107-12:00,Smoke,9,0,0,,36,,1013,0,0,25,0,0,3,0,North,,,0
19961107-13:00,Smoke,9,0,0,,38,,1013,0,0,24,0,0,2.2,0,North,,,0
19961107-14:00,Smoke,10,0,0,,46,,1014,0,0,22,0,0,1.5,0,North,,,0
19961107-15:00,Smoke,9,0,0,,49,,1014,0,0,20,0,0,1.5,0,North,,,0
19961107-16:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-17:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-18:00,Smoke,8,0,0,,49,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-19:00,Smoke,8,0,0,,52,,1014,0,0,18,0,0,1.5,0,North,,,0
19961107-20:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.4,0,North,,,0
19961107-21:00,Smoke,9,0,0,,59,,1013,0,0,17,0,0,1.4,0,North,,,0
19961107-22:00,Smoke,8,0,0,,59,,1013,0,0,16,0,0,,0,North,,,
19961107-23:00,Smoke,8,0,0,,63,,1013,0,0,15,0,0,2,0,North,,,0
19961108-00:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2,220,SW,,,5.6
19961108-01:00,Smoke,7,0,0,,59,,1014,0,0,,0,0,2,0,North,,,0
19961108-02:00,Smoke,8,0,0,,59,,1015,0,0,16,0,0,2,240,WSW,,,7.4
19961108-03:00,Smoke,7,0,0,,49,,1016,0,0,18,0,0,2.5,240,WSW,,,9.3
19961108-04:00,Smoke,9,0,0,,46,,1016,0,0,21,0,0,3,240,WSW,,,7.4
19961108-05:00,Smoke,9,0,0,,38,,1016,0,0,24,0,0,4,280,West,,,5.6
19961108-06:00,Smoke,9,0,0,,32,,1016,0,0,27,0,0,4,270,West,,,9.3
19961108-07:00,Smoke,5,0,0,,23,,1015,0,0,28,0,0,5,300,WNW,,,5.6
19961108-08:00,Haze,6,0,0,,23,,1014,0,0,29,0,0,5,0,North,,,0
19961108-09:00,Haze,6,0,0,,23,,1014,0,0,29,0,0,5,0,North,,,0
19961108-10:00,Haze,6,0,0,,25,,1014,0,0,28,0,0,5,300,WNW,,,5.6
19961108-11:00,Smoke,6,0,0,,26,,1014,0,0,27,0,0,3.5,0,North,,,0
19961108-12:00,Smoke,9,0,0,,41,,1014,0,0,23,0,0,3,0,North,,,0
19961108-13:00,Smoke,9,0,0,,46,,1015,0,0,21,0,0,2.4,0,North,,,0
19961108-14:00,Smoke,10,0,0,,49,,1015,0,0,21,0,0,1.7,0,North,,,0
19961108-15:00,Smoke,9,0,0,,49,,1015,0,0,20,0,0,1.2,0,North,,,0
19961108-16:00,Smoke,9,0,0,,49,,1015,0,0,20,0,0,,0,North,,,0
19961108-17:00,Smoke,10,0,0,,56,,1015,0,0,19,0,0,,0,North,,,0
19961108-18:00,Smoke,9,0,0,,52,,1015,0,0,19,0,0,0.8,0,North,,,0
19961108-19:00,Smoke,10,0,0,,59,,1015,0,0,18,0,0,1,0,North,,,0
19961108-20:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.4,0,North,,,0
19961108-21:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.5,0,North,,,0
19961108-22:00,Unknown,8,0,0,,59,,1014,0,0,16,0,0,1.6,0,North,,,0
19961108-23:00,Smoke,8,0,0,,59,,1014,0,0,16,0,0,2,0,North,,,0
19961109-00:00,Smoke,7,0,0,,55,,1014,0,0,16,0,0,2,0,North,,,0
19961109-01:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2,210,SSW,,,5.6
19961109-02:00,Smoke,6,0,0,,52,,1015,0,0,16,0,0,2,230,SW,,,9.3
19961109-03:00,Smoke,7,0,0,,49,,1016,0,0,18,0,0,2.5,240,WSW,,,13
19961109-04:00,Smoke,9,0,0,,46,,1016,0,0,21,0,0,3.5,270,West,,,9.3
19961109-05:00,Smoke,9,0,0,,38,,1016,0,0,24,0,0,5,240,WSW,,,9.3
19961109-07:00,Smoke,7,0,0,,28,,1014,0,0,27,0,0,5,270,West,,,11.1
19961109-08:00,Smoke,8,0,0,,28,,1013,0,0,28,0,0,5,270,West,,,11.1
19961109-09:00,Clear,7,0,0,,26,,1013,0,0,28,0,0,6,290,WNW,,,11.1
19961109-11:00,Smoke,8,0,0,,30,,1012,0,0,27,0,0,4.5,280,West,,,7.4
19961109-12:00,Smoke,7,0,0,,32,,1013,0,0,25,0,0,3.5,280,West,,,7.4
19961109-13:00,Smoke,8,0,0,,43,,1013,0,0,21,0,0,2.8,0,North,,,0
19961109-14:00,Smoke,8,0,0,,46,,1014,0,0,20,0,0,2,0,North,,,0
19961109-15:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,,0,North,,,
19961109-16:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961109-17:00,Smoke,9,0,0,,56,,1014,0,0,18,0,0,1,0,North,,,0
19961109-18:00,Smoke,8,0,0,,55,,1014,0,0,17,0,0,1,0,North,,,0
19961109-19:00,Smoke,8,0,0,,55,,1014,0,0,17,0,0,1.2,0,North,,,0
19961109-20:00,Clear,8,0,0,,55,,1013,0,0,17,0,0,,0,North,,,
19961109-21:00,Smoke,8,0,0,,63,,1013,0,0,15,0,0,,0,North,,,
19961109-22:00,Smoke,7,0,0,,59,,1013,0,0,15,0,0,2,0,North,,,0
19961109-23:00,Smoke,7,0,0,,59,,1013,0,0,15,0,0,2,0,North,,,0
19961110-00:00,Smoke,7,0,0,,63,,1013,0,0,14,0,0,,0,North,,,
19961110-01:00,Smoke,7,0,0,,63,,1013,0,0,14,0,0,2,0,North,,,0
19961110-02:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2.5,230,SW,,,7.4
19961110-03:00,Smoke,7,0,0,,49,,1014,0,0,18,0,0,3,260,West,,,9.3
19961110-04:00,Smoke,8,0,0,,41,,1015,0,0,22,0,0,4,220,SW,,,7.4
19961110-05:00,Smoke,8,0,0,,36,,1014,0,0,24,0,0,5,250,WSW,,,14.8
19961110-06:00,Clear,7,0,0,,30,,1013,0,0,26,0,0,6,240,WSW,,,14.8
19961110-07:00,Clear,6,0,0,,25,,1012,0,0,28,0,0,6,270,West,,,22.2
19961110-08:00,Clear,5,0,0,,22,,1012,0,0,29,0,0,6,270,West,,,14.8
19961110-09:00,Clear,4,0,0,,20,,1011,0,0,29,0,0,6,270,West,,,18.5
19961110-10:00,Clear,4,0,0,,20,,1011,0,0,29,0,0,,280,West,,,22.2
19961110-11:00,Clear,5,0,0,,24,,1011,0,0,27,0,0,6,290,WNW,,,5.6
19961110-12:00,Smoke,6,0,0,,33,,1011,0,0,23,0,0,4,0,North,,,0
19961110-13:00,Smoke,7,0,0,,40,,1011,0,0,21,0,0,3,0,North,,,0
19961110-15:00,Smoke,9,0,0,,56,,1012,0,0,18,0,0,1.2,0,North,,,0
19961110-16:00,Smoke,8,0,0,,49,,-9999,0,0,19,0,0,2,0,North,,,0
19961110-18:00,Smoke,7,0,0,,49,,1012,0,0,18,0,0,1.5,0,North,,,0
19961110-19:00,Smoke,6,0,0,,48,,1011,0,0,17,0,0,1.5,0,North,,,0
19961110-20:00,Smoke,7,0,0,,55,,1011,0,0,16,0,0,1.5,0,North,,,0
19961110-21:00,Smoke,7,0,0,,59,,1011,0,0,15,0,0,1.5,0,North,,,0
19961110-22:00,Smoke,8,0,0,,67,,1011,0,0,14,0,0,1.4,0,North,,,0
19961110-23:00,Smoke,7,0,0,,63,,1011,0,0,14,0,0,2,0,North,,,0
19961111-00:00,Smoke,7,0,0,,63,,1012,0,0,14,0,0,1.5,0,North,,,0
19961111-01:00,Smoke,7,0,0,,59,,1012,0,0,15,0,0,2,0,North,,,0
19961111-02:00,Smoke,7,0,0,,49,,1013,0,0,18,0,0,1.5,0,North,,,0
19961111-03:00,Smoke,5,0,0,,40,,1014,0,0,19,0,0,3,0,North,,,0
19961111-04:00,Smoke,7,0,0,,34,,1014,0,0,24,0,0,3,0,North,,,0
19961111-05:00,Smoke,7,0,0,,28,,1014,0,0,27,0,0,4,150,SSE,,,9.3
19961111-06:00,Smoke,4,0,0,,21,,1014,0,0,28,0,0,4.5,230,SW,,,5.6
19961111-07:00,Clear,4,0,0,,20,,1012,0,0,29,0,0,6,250,WSW,,,14.8
19961111-08:00,Clear,2,0,0,,17,,1011,0,0,30,0,0,6,270,West,,,5.6
19961111-09:00,Clear,1,0,0,,17,,1011,0,0,28,0,0,6,290,WNW,,,9.3
19961111-10:00,Clear,2,0,0,,18,,1011,0,0,29,0,0,6,290,WNW,,,9.3
19961111-11:00,Clear,5,0,0,,23,,1011,0,0,28,0,0,,0,North,,,
19961111-12:00,Smoke,7,0,0,,34,,1011,0,0,24,0,0,,0,North,,,
19961111-13:00,Smoke,7,0,0,,36,,1012,0,0,23,0,0,,0,North,,,
19961111-14:00,Smoke,7,0,0,,38,,1012,0,0,22,0,0,1.8,0,North,,,0
19961111-15:00,Smoke,7,0,0,,43,,1013,0,0,20,0,0,1.4,90,East,,,9.3
19961111-16:00,Smoke,6,0,0,,40,,1013,0,0,20,0,0,1.2,90,East,,,7.4
19961111-17:00,Smoke,5,0,0,,37,,1013,0,0,20,0,0,1.6,100,East,,,5.6
19961111-18:00,Smoke,6,0,0,,43,,1013,0,0,19,0,0,1.8,0,North,,,0
19961111-19:00,Smoke,5,0,0,,37,,1013,0,0,20,0,0,2,0,North,,,0
19961111-20:00,Smoke,7,0,0,,49,,1013,0,0,18,0,0,2,0,North,,,0
19961111-21:00,Smoke,9,0,0,,59,,1013,0,0,17,0,0,1.5,70,ENE,,,9.3
19961111-22:00,Smoke,9,0,0,,63,,1012,0,0,16,0,0,1.5,70,ENE,,,7.4
19961112-00:00,Smoke,9,0,0,,63,,1013,0,0,16,0,0,1.5,80,East,,,3.7
19961112-01:00,Smoke,7,0,0,,55,,1013,0,0,16,0,0,1.4,100,East,,,7.4
19961112-02:00,Smoke,6,0,0,,38,,1014,0,0,21,0,0,2,110,ESE,,,7.4
19961112-03:00,Smoke,6,0,0,,31,,1015,0,0,24,0,0,2,100,East,,,7.4
19961112-04:00,Smoke,6,0,0,,28,,1015,0,0,26,0,0,3,0,North,,,0
19961112-05:00,Smoke,5,0,0,,23,,1014,0,0,28,0,0,4,140,SE,,,7.4
19961112-06:00,Haze,5,0,0,,20,,1014,0,0,30,0,0,4.5,140,SE,,,7.4
19961112-07:00,Haze,4,0,0,,19,,1013,0,0,30,0,0,5,0,North,,,0
19961112-08:00,Clear,4,0,0,,18,,1012,0,0,31,0,0,6,210,SSW,,,7.4
19961112-09:00,Clear,5,0,0,,19,,1010,0,0,31,0,0,8,0,North,,,0
19961112-10:00,Clear,5,0,0,,20,,1011,0,0,30,0,0,8,120,ESE,,,5.6
19961112-11:21,Haze,6,0,0,,25,,1010,0,0,28,0,0,5,90,East,,,5.6
19961112-12:00,Smoke,8,0,0,,34,,1011,0,0,25,0,0,3,0,North,,,0
19961112-13:00,Smoke,8,0,0,,36,,-9999,0,0,24,0,0,1.8,0,North,,,0
19961112-14:00,Smoke,8,0,0,,38,,1011,0,0,23,0,0,1.1,0,North,,,0
19961112-15:00,Smoke,7,0,0,,38,,1011,0,0,22,0,0,1.1,80,East,,,5.6
19961112-16:00,Smoke,8,0,0,,41,,1012,0,0,22,0,0,1.3,100,East,,,5.6
19961112-17:00,Smoke,10,0,0,,49,,1012,0,0,21,0,0,0.9,60,ENE,,,5.6
19961112-18:00,Smoke,10,0,0,,49,,1012,0,0,21,0,0,0.8,80,East,,,5.6
19961112-19:00,Smoke,10,0,0,,56,,1012,0,0,19,0,0,1.5,0,North,,,0
19961112-20:00,Smoke,10,0,0,,52,,1011,0,0,20,0,0,0.5,70,ENE,,,7.4
19961112-21:00,Smoke,10,0,0,,52,,1011,0,0,20,0,0,0.5,70,ENE,,,7.4
19961112-22:00,Smoke,12,0,0,,68,,1011,0,0,18,0,0,1.5,0,North,,,0
19961112-23:00,Smoke,12,0,0,,72,,1011,0,0,17,0,0,1.5,0,North,,,0
19961113-00:00,Smoke,11,0,0,,68,,-9999,0,0,17,0,0,7,0,North,,,
19961113-01:00,Smoke,11,0,0,,60,,1011,0,0,19,0,0,0.7,130,SE,,,7.4
19961113-02:00,Smoke,11,0,0,,60,,1012,0,0,,0,0,,280,West,,,5.6
19961113-03:00,Smoke,12,0,0,,56,,1013,0,0,21,0,0,0.7,0,North,,,0
19961113-04:00,Smoke,12,0,0,,44,,1013,0,0,25,0,0,0.8,0,North,,,0
19961113-05:00,Smoke,11,0,0,,41,,1013,0,0,25,0,0,1.5,260,West,,,11.1
19961113-06:00,Smoke,11,0,0,,39,,1013,0,0,26,0,0,2,300,WNW,,,7.4
19961113-07:00,Smoke,10,0,0,,32,,1012,0,0,28,0,0,2,280,West,,,9.3
19961113-08:00,Smoke,10,0,0,,23,,1011,0,0,34,0,0,1.8,300,WNW,,,5.6
19961113-09:00,Smoke,12,0,0,27.5,37,,1011,0,0,28,0,0,2,300,WNW,,,5.6
19961113-10:00,Smoke,11,0,0,,35,,1011,0,0,28,0,0,2.5,290,WNW,,,7.4
19961113-11:00,Smoke,13,0,0,27,42,,1011,0,0,27,0,0,,0,North,,,
19961113-12:00,Smoke,13,0,0,,47,,1011,0,0,25,0,0,1.5,0,North,,,0
19961113-13:00,Smoke,14,0,0,,57,,1012,0,0,23,0,0,,0,North,,,
19961113-14:00,Smoke,13,0,0,,57,,1012,0,0,22,0,0,,0,North,,,
19961113-15:00,Smoke,13,0,0,,60,,1013,0,0,21,0,0,1.2,0,North,,,0
19961113-17:00,Smoke,13,0,0,,60,,1013,0,0,21,0,0,0.8,0,North,,,0
19961113-18:00,Smoke,13,0,0,,60,,1013,0,0,21,0,0,0.8,0,North,,,0
19961113-19:00,Smoke,13,0,0,,64,,1013,0,0,20,0,0,0.7,0,North,,,0
19961113-20:00,Smoke,12,0,0,,64,,1014,0,0,19,0,0,,0,North,,,
19961113-21:00,Smoke,14,0,0,,64,,1013,0,0,21,0,0,,0,North,,,
19961113-22:00,Smoke,13,0,0,,53,,1013,0,0,23,0,0,0.8,0,North,,,0
19961113-23:00,Smoke,13,0,0,,64,,1014,0,0,20,0,0,0.8,0,North,,,0
19961114-00:00,Smoke,13,0,0,,64,,1014,0,0,20,0,0,0.8,0,North,,,0
19961114-01:00,Smoke,13,0,0,,60,,1015,0,0,21,0,0,1,0,North,,,0
19961114-04:00,Smoke,13,0,0,,57,,1018,0,0,22,0,0,1.5,250,WSW,,,9.3
19961114-05:00,Smoke,9,0,0,,36,,1018,0,0,25,0,0,2.5,0,North,,,0
19961114-06:00,Smoke,10,0,0,,36,,1017,0,0,26,0,0,3,270,West,,,7.4
19961114-07:00,Smoke,9,0,0,,32,,1016,0,0,27,0,0,3.5,260,West,,,13
19961114-08:00,Smoke,6,0,0,,25,,1016,0,0,28,0,0,4.5,300,WNW,,,22.2
19961114-09:00,Smoke,7,0,0,,26,,1016,0,0,28,0,0,5,300,WNW,,,9.3
19961114-10:00,Smoke,6,0,0,,25,,1016,0,0,28,0,0,5,290,WNW,,,13
19961114-11:00,Smoke,6,0,0,,26,,1016,0,0,27,0,0,4,270,West,,,11.1
19961114-12:00,Smoke,8,0,0,,36,,1016,0,0,24,0,0,2,0,North,,,0
19961114-13:00,Smoke,8,0,0,,43,,1017,0,0,21,0,0,1.5,0,North,,,0
19961114-14:00,Smoke,8,0,0,,49,,1018,0,0,19,0,0,1.2,0,North,,,0
19961114-15:00,Smoke,9,0,0,,52,,1018,0,0,19,0,0,1.1,0,North,,,0
19961114-20:00,Smoke,8,0,0,,59,,1018,0,0,16,0,0,,0,North,,,
19961114-21:00,Smoke,8,0,0,,63,,1019,0,0,15,0,0,,0,North,,,
19961114-22:00,Smoke,8,0,0,,67,,1018,0,0,14,0,0,1.5,0,North,,,0
19961114-23:00,Smoke,8,0,0,,67,,1018,0,0,14,0,0,1.2,0,North,,,0
19961115-00:00,Smoke,8,0,0,,67,,1019,0,0,14,0,0,1.2,0,North,,,0
19961115-01:00,Smoke,7,0,0,,63,,1020,0,0,14,0,0,1.4,260,West,,,9.3
19961115-03:00,Smoke,7,0,0,,59,,1021,0,0,15,0,0,2,270,West,,,11.1
19961115-05:00,Smoke,8,0,0,,41,,1021,0,0,22,0,0,2.5,260,West,,,11.1
19961115-06:00,Smoke,8,0,0,,38,,1021,0,0,23,0,0,2.5,270,West,,,22.2
19961115-07:00,Smoke,9,0,0,,36,,1020,0,0,25,0,0,3,270,West,,,18.5
19961115-08:00,Smoke,5,0,0,,26,,1019,0,0,26,0,0,3.5,280,West,,,18.5
19961115-11:00,Smoke,5,0,0,,29,,1018,0,0,24,0,0,4,270,West,,,11.1
19961115-12:00,Smoke,7,0,0,,38,,1019,0,0,22,0,0,2.5,260,West,,,9.3
